单词,解释
hit,"hit
  [hit, hit, hitting]
 hit at 
  1.  hits at sb/sth BrE to publicly criticize or attack someone or something - used especially in the titles of newspaper reports:
   ▪ President hits at Serb aggression is Kosovo
   ▪ Amnesty International hits at treatment of political prisoners in Iraq
   ■ SIMILAR TO: criticize, attack
  2.   hit at sth  not progressive to have a bad effect on something and damage it or show that it is wrong:
   ▪ This hits at the established idea that there is no legal limit to Parliament's power.
 hit back 
     hit back to criticize or attack a person or group, especially publicly, because they have criticized or attacked you.:
   ▪ The multi-millionaire has already hit back by threatening to take the newspaper to court.
   + at
   ▪ Police last night hit back at the lawyer's claim that they had mishandled the arrest.
   ■ SIMILAR TO: ↑strike back
 hit off 
    hit it off informal if two or more people hit it off, they like each other as soon as they meet each other and become friends very easily:
   ▪ Frank took me out to dinner and we really hit it off straight away.
   + with
   ▪ I didn't hit it off with the office manager.
   ■ SIMILAR TO: get on well  especially BrE
 hit on/upon ! Hit upon  is more formal than  hit on  and is mostly used in writing
  1.   hit on/upon sth to think of an idea or plan, especially one that is successful:
   ▪ They tried various methods before hitting on the right one.
   ▪ James Robertson, a Paisley grocer, hit on the idea of making marmalade from a barrel of bitter oranges he could not sell.
   ■ SIMILAR TO: ↑come up with
  2.   hit on/upon sth to discover the true facts about a situation, the real reason for something etc:
   ▪ James felt sure that he had hit on the truth.
   ▪ You've hit on precisely the thing that's worrying me most.
 hit on 
     hit on sb AmE spoken informal to talk to someone in a way that shows you think they are sexually attractive:
   ▪ This weird guy hit on every woman on our floor in the first week of college.
   ▪ A sixteen-year-old chick was hitting on him.
   ■ SIMILAR TO: ↑chat up
 hit out 
     hit out especially BrE to criticize something or someone strongly because you disapprove of them - used especially in news reports:
   ▪ An angry Hurst hit out: &quot;It was the worst match since I took over. Our team got what they deserved.&quot;
   + at
   ▪ The industry hit out yesterday at the increase in business taxes.
   ■ SIMILAR TO: ↑lash out
 hit up 
     hit sb up AmE informal to ask someone to give you something, especially money
   + for
   ▪ Why don't you hit Marty up for a loan and go shopping?
   ■ SIMILAR TO: ↑ask
 hit upon 
   ► see ↑hit on/upon"
hitch,"hitch
  [hitched, hitched, hitching]
 hitch up 
     hitch up sth • hitch sth up to pull up a piece of clothing, so that it is higher up your body than before:
   ▪ She quickly finished hitching up her tights.
   ▪ He hitched up his jeans and waded out into the stream.
   ■ SIMILAR TO: ↑hike up"
hitchhike,"- n. 搭便车(旅行)
- vi. 作搭便车式的旅行

时 态:  
hitchhiked, hitchhiking, hitchhikes 

名 词:  
hitchhike

名 词:  
hitchhiker"
holistic,adj. 全部的
homesick,"adj. 想家的；思乡病的


名 词:  
homesickness"
horrific,adj. 可怕的；令人毛骨悚然的
host,"- n. 主人；主机；主持人；许多
- vt. 主持；当主人招待
- vi. 做主人；群集


时 态:  
hosted, hosting, hosts  

形容词:  
hostly"
hostility,"- n. 敌意, 敌对状态
- 战争行动, 战斗"
humidity,"n. 湿度, 潮湿, 湿气"
humiliate,"vt. 使蒙羞, 羞辱, 使丢脸

时 态:  
humiliated, humiliating, humiliates"
hut,"- n. 小屋；临时营房
- vt. 使住在小屋中；驻扎
- vi. 住在小屋中；驻扎


时 态:  
hutted, hutting, huts"
hyena,n. 鬣狗，土狼
hyenas,n. 土狼（hyena的复数形式）
hygiene,"n. 卫生学；卫生；保健法


名 词:  
hygienist"
hyperfine,adj. 超精细的
hypocrite,"n. 伪君子, 伪善者"
identical,"adj. 同一的

副 词:  
identically"
identify,"identify
  [identified, identified, identifying]
 identify with 
  1.   identify with sb/sth to feel able to understand someone's character and feelings, especially because they seem similar to yours in some way:
   ▪ Young readers can easily identify with Helen, the main character in the story - she's a very ordinary teenager.
   ▪ Most of us will find it difficult to identify with the sufferings of a heroin addict.
  2.   be identified with sth to be considered by many people to have a close connection with someone or something:
   ▪ Fats Waller's name became to be identified with a unique style of jazz.
   ▪ Religion has often been closely identified with politics.
  3.   identify (yourself) with sb/sth to consider yourself to be part of a group that has a particular set of beliefs:
   ▪ Not all trade unionists were ready to identify with the Socialist Movement.
   ▪ politicians who wanted to identify themselves with reform"
idle,"idle
  [idled, idled, idling]
 idle away 
     idle away sth • idle sth away to spend time in a relaxed way, doing nothing:
   ▪ Natasha would sit idling away the long summer days by the river.
   ▪ youths idling their time away on street corners
   ■ SIMILAR TO: ↑while away"
ignorant,adj. 无知的；愚昧的
illustrative,"- adj. 用作说明的,解说性的
- adv. 用作说明地,解说性地"
imitate,"- vt. 模仿
- 把…作为例子

时 态:  
imitated, imitating, imitates 

名 词:  
imitator"
immediately,"- adv. 立即, 马上
- 直接地"
impediment,"- n. 妨碍、阻碍某事物进展或活动的人或物
- 身体上的某类残疾, 缺陷

形容词:  
impedimental"
impending,adj. 即将发生的;迫在眉睫的
imperceptibly,"- adv. 无感觉地；感觉不到地；不知不觉地
- 极微地"
implementation,n. 贯彻，执行
impudent,adj. 鲁莽的；放肆无礼的；无耻的
imputation,"- n. 归罪;负责
- 诋毁；非难;污名

形容词:  
imputative

副 词:  
imputatively"
"In my company, the information gained from these interviews is often not confidential","Free Dictionary在线词典
韦氏在线词典
必应在线词典
柯林斯在线词典
Urban Dictionary
剑桥词典
Dictionary.com在线词典
朗文当代英语在线词典
Ox Living Dict


点击管理在线词典"
in place,在适当的位置
in term of,"Free Dictionary在线词典
韦氏在线词典
必应在线词典
柯林斯在线词典
Urban Dictionary
剑桥词典
Dictionary.com在线词典
朗文当代英语在线词典
Ox Living Dict


点击管理在线词典"
in terms of,"就...而言,在...方面"
in the long run,长远；终究
inaccessible,"adj. 达不到的, 不可及的

名 词:  
inaccessibility

副 词:  
inaccessibly"
inadequate,"- adj. 不充足的，不适当的
- 不足胜任的，信心不足的
- adv. 不充足地，不适当地；不足胜任地

副 词:  
inadequately"
inanimate,"- adj. 无生命的
- 无生气的, 无精打采的, 单调的"
Inc,"abbr. 股份有限公司（incorporated）

INC集成数字控制"
Inca,n. 印加；印加人
incandescent,"- adj. 白热的；白炽的
- 十分明亮的，耀眼的
- 感情强烈的；激情的"
incapable,"adj. 无能力的, 不会的"
incentive,n. 激励某人做某事的事物；刺激；诱因，动机
incompatible,"adj. 合不来的，不能和谐相处的；不协调的，不相配的

副 词:  
incompatibly"
incompetent,"adj. 无能力的, 不称职的, 不胜任的

副 词:  
incompetently"
incorporate,"- vt. 包含, 加上, 吸收
- 把…合并, 使并入
- 组成公司

时 态:  
incorporated, incorporating, incorporates 

形容词:  
incorporable

名 词:  
incorporation

形容词:  
incorporative

名 词:  
incorporator"
incubation,"- n. 孵卵；孵化
- (传染病的)潜伏期
- (细菌等的)繁殖"
inculcation,n. 谆谆教诲；教授
indelible,"- adj. 擦不掉的
- 永久的,持久的

副 词:  
indelibly"
induction,"- n. 就职, 入伍
- 吸入
- (电或磁的)感应
- 归纳(法)"
indulgence,"n. 放纵；纵容；嗜好；沉溺


时 态:  
indulgenced, indulgencing, indulgences"
industry,n. 工业；产业；勤勉
inept,"adj. 不适当的；笨拙的

INEPT不灵敏核极化转移增益法

副 词:  
ineptly"
inert,"- adj. 无自动力的
- (身心)迟钝的
- 惰性的

副 词:  
inertly

名 词:  
inertness"
inessential,"- adj. 非必要的,无关紧要的
- 可省去的,可有可无的
- n. 可有可无的事物"
inevitable,"- adj. 不可避免的, 必然发生的
- 〈非正〉总会发生的, 照例必有的, 惯常的

名 词:  
inevitability

副 词:  
inevitably"
inextricably,"adv. 逃不掉地,解决不了地,解不开地"
inflationary,"adj. 通货膨胀的,通货膨胀倾向的"
infrared,adj. 〈物〉红外线的
ingrain,"- vt. 使…根深蒂固；就…原料染色；生染
- n. 固有品质；原纱染色；生染的纤维
- adj. 生染的；原纱染色的；根深蒂固的


时 态:  
ingrained, ingraining, ingrains"
ingredient,n. (混合物的)组成部分; 配料
inherent,"adj. 固有的；内在的；与生俱来的


副 词:  
inherently"
inimitably,"adv. 无法仿效地,独特地"
initial,"- adj. 最初的；字首的
- vt. 用姓名的首字母签名
- n. 词首大写字母


时 态:  
initialedalso initialled 
initialinginitialling 
initialsinitials  

副 词:  
initially"
ink,"ink
  [inked, inked, inking]
 ink in 
     ink in sth • ink sth in to complete something done in pencil by drawing over it in ink:
   ▪ I've just got to ink in the bottom part of the picture, and then it'll all be finished."
inquest,n. 审讯;审理
insight,"- n. 洞察力, 洞悉, 深刻的见解
- 领悟, 顿悟"
insipid,"adj. 枯燥的，无生气的；乏味的

名 词:  
insipidity

副 词:  
insipidly"
insolent,"adj. 无礼的；粗野的；傲慢的；无耻的


名 词:  
insolent

副 词:  
insolently"
inspection,"n. 检查,视察"
instability,"n. 不稳定,不稳固"
insult,"- vt. 侮辱, 冒犯
- n. 侮辱, 辱骂, 侮辱性的言论

时 态:  
insulted, insulting, insults 

名 词:  
insulter

副 词:  
insultingly"
integers,n. 整数（integer的复数）
intensify,"vt. & vi. (使)增强, (使)加剧

时 态:  
intensified, intensifying, intensifies 

名 词:  
intensification"
interchange,"- vt. (指两人等)交换事物, 互换
- 使两人或两物相互易位
- vt. & vi. (使某事物)交替变化

时 态:  
interchanged, interchanging, interchanges 

名 词:  
interchanger"
